agency,address_page
Children's Hospital Denver,https://www.supportchildrenscolorado.org/about/contact-us/
Name missing_1,https://community.constantcontact.com/t5/Questions-Discussions/First-Name-missing-from-campaign/m-p/387760
Lions Club,https://www.lionsclubs.org/en/footer/contact-us
Awareness Foundation,https://schoolchoiceawareness.org/
Menlo Park Presbyterian Church,https://gospel1190.com/menlo-park-presbyterian-church2390-2017-02-22-22-10-34-060
Inyo Cty Health Dept,https://www.lawhelpca.org/es/resource/calworks-emergency-assistance-contact-your-local-office-to-ask-for-more-information/go/56AD7DFB-7E2D-410C-9F9B-C538C667D20C
Orange County Burn Association,https://ocfa.org/AboutUs/OCFAFoundation.aspx
Muscular Dystrophy Association,https://www.mda.org/about-mda/contact-us
CHC La Clinica,https://www.stthomaschc.org/
Lovelace Health System,https://lovelace.com/contact-us
UNM Pediatric Oncology,https://unmhealth.org/cancer/teams/pediatric.html
Mission Medical Assoc.,https://www.kha-net.org/CriticalIssues/AccessToCare/CriticalAccessHospitals/CAHsLinks/National-Rural-Health-Association_462.aspx
New Health Institutes,https://www.nih.com/
Miracle Party,Not Found
Saint Vincent Healthcare,Not Found
Shriners Hospitals for Children - Salt L,Not Found
Billings Clinic,Not Found
Feather River Health Center,https://www.adventisthealth.org/feather-river/contact-us/
Intermountain Healthcare Cedar City Clinic,Not Found
Tri State Medical Clinics,Not Found
Passenger Requester,https://pa-centrecounty.civicplus.com/431/zlib/constants
Spokane VA Medical Center,Not Found
Primary Children's Hospital,https://intermountainhealthcare.org/locations/primary-childrens-salt-lake-city
Ketchikan Medical Center,https://www.peacehealth.org/hospitals/peacehealth-ketchikan-medical-center
Spokane Guilds School & Neuromuscular Ce,Not Found
VA Community Based Outpatient Clinic,https://njassemblyrepublicans.us4.list-manage.com/track/click?u=2eaffd638922956bb06808161&id=89997866bd&e=8d28102eea
Pediatric Adolescent Hematology Oncology,https://hrgfft4bgd.execute-api.us-east-1.amazonaws.com/prod/go/2w0pEEv
Children's Hospital Colorado - Main Campus,https://www.childrenscolorado.org/locations/anschutz-medical-campus-aurora/
Family Crisis Services,https://family-crisis.org/
MD Anderson Cancer Center,https://www.mdanderson.org/about-md-anderson/our-locations/texas-medical-center.html
Kootenai Clinic Gastroenterology & Endoc,https://www.kh.org/
Sansum Oncology,https://www.sansumclinic.org/about-us/contact-us
Albuquerque SANE,https://www.abqsane.org/contact
Humboldt Family Medical,https://www.unitypoint.org/locations/unitypoint-clinic-family-medicine---humboldt
Battered Persons' Advocacy,https://www.ncjfcj.org/publications/advocacy-beyond-leaving-helping-battered-women-in-contact-with-current-or-former-spouses/
St. Vincents Pediatric Specialty Clinic,https://intermountainhealthcare.org/locations/intermountain-health-st-vincent-regional-hospital/pediatrics
Grant Creek Family Medicine,https://www.providence.org/locations/mt/grant-creek-family-medicine
"Shriners Hospital, Portland",https://www.shrinerschildrens.org/en/locations/portland/contact-us
Willow Springs Center,https://fpdcc.com/places/locations/little-red-schoolhouse-nature-center/
Rawhide Rural Health Clinic,https://niobrarahospital.com/rawhide-health-clinic-updated-hours/
"Kootenai Clinic Ear, Nose, Throat and Al",https://www.kh.org/
"Open Door Health, Del Norte",Not Found
Dept of Veteran's Affairs,Not Found
St. Luke's,https://www.stlukesonline.org/contact-us
YWCA Utha,https://www.ywcautah.org/
seattlle,https://cityofseattle.org/
St Vincent Gastroenterology,https://www.chistvincent.com/hospitals-locations/clinics/gastroenterology-lr
PCH,https://info.pch.com/contact-us
Pocatello VA Outpatient Clinic,https://www.healthgrades.com/group-directory/id-idaho/pocatello/pocatello-va-outpatient-clinic-x9ttqm
Hospice of the pine,https://www.hospiceinthepines.org/
Dept of Veterans Affairs,https://iqconnect.lmhostediq.com/IQExtranet/iqClickTrk.aspx?&cid=MaineVets&crop=0000.0000.0000.0000&report_id=&redirect=https%3A%2F%2Fwww.benefits.va.gov%2Fbenefits%2Foffices.asp&redir_log=627376328185338
Latah Community Health (CHAS),https://chas.org/location/latah-community-health/
Kaiser Oncology,https://healthy.kaiserpermanente.org/southern-california/facilities/kaiser-permanente-zion-medical-center-100084/departments/oncology-hematology-dlp-100736
St. Luke's Treasure Valley Pediatrics,https://www.stlukesonline.org/communities-and-locations/facilities/clinics/st-lukes-childrens-pediatrics-boise-e-jefferson-st
Fortuna Community Health Center,https://opendoorhealth.com/locations/fortuna-community-health-center/
Euro Med,https://euromedgroup.com/
Central Coast Medical Group,https://www.dignityhealth.org/central-coast/medical-group/phc
Glasgow Clinic,https://www.fmdh.org/services/glasgow-clinic-primary-care/
Central Wyoming Neurology,http://www.conversehospital.com/locations/central-wyoming-neurology-care/
Qliance Medical Group,https://qliance.com/locations/
Rocky Mountain Pediatric Hematology and,https://www.healthonephysiciangroup.com/locations/rocky-mountain-pediatric-hematology-oncology/denver
Open Door Community Health Centers,https://opendoorhealth.com/about/
Southern Nevada Pain Specialist,https://www.southernnevadapaincenter.com/locations-2/
St. Andrews Clinic,https://www.salcgroup.org/
Neva Manigatti-Lake,https://wonderclub.com/magazines/
Seattle Pain Centers- Olympia,https://washingtonpain.com/
Hematology Oncology Association,https://www.hematology.org/
The Permanente Medical Group Inc.,https://northerncalifornia.permanente.org/
Swedish Medical Center,https://www.healthonecares.com/locations/swedish/about-us/contact-us
Open Door Community Health Center,https://opendoorhealth.com/about/
Latah Community Health,https://chas.org/location/latah-community-health/
IHS- Southern Bands Clinic,https://api.nakarta.com/m_e?ct=mbPajCSr0jzCw4IyVPLbR0PyhkgOQqjfWgPQWmoeG8aNiR47DJPr24S8M11dtFzu%2BhMq9SUefiyYbVFIvHw0YKbfD0SN02qmzQYOuvEj8XYd%2FZVJvsg4gr9i4YuDjKEXpV5Fnu9XK80bvRBQQf1O6pImi3Rklcr9tE56DsEsG9drkvsiWA95OKEA00JIaoHmU0ur%2BQM1AX0GV0fv7572UPNNaR%2FugRePJnO7%2B4smt8bqE2etJsmNiSBBaQ4G3oULWTCxCjJxpC3OlR17rqE1s211lncQXTcmvsFTGxdS298pFvreNI8uikrbsO3Fgjo2fEcMRLaLsGmoUhR%2FnMzw5AUifP6BLTDZOiT5MoJKk17gOngAg2fk9zcn0SIqvKjb9Erk%2BexGE7XUxwRPzW8X86I21hQawg62FdFm3kUh8CyPH33ktXYWe%2FedAiSDSe6aOLKjLU2jZceSR4hy5PEor9u2zidO3emhXZc5sbhwLZ%2BZ%2F8lhpIirXuGeTo8AdapHc4MxzE%2FQuAiHysiWmlZ%2FuAZ9sIqBG86k%2Bjbos51AXywGSQDGztFI8nF6MsTxqCcM1S925GbKYHu3N%2BVZ1w4gXX6HTzePUlMr8jyy0g0wvPcDra6l4dr5%2BOdp4V93z02xzzkaLSzA7W9rOEXM8ZGPfhzaQpaBp95KqSLQPcKJArk%3D
Mat su Community Pediatrics,https://cpfamilynetwork.org/resources/resources-guide/mat-su-community-pediatrics-pc-wasilla-alaska/
Children's Bone and Spine,https://cbsortho.com/locations/
Mattel Children's Hospital at UCLA,https://www.uclahealth.org/contact-us
Mayo Clinic Hospital,https://www.mayoclinic.org/about-mayo-clinic/contact
Rock Canyon Pediatric Specialist,https://intermountainhealthcare.org/locations/utah-valley-clinic/rock-canyon-pediatric-specialists
FastMed (urgent care),https://www.fastmed.com/about-fastmed/contact/
Providence St. Mary Heart and Vascular C,https://www.providence.org/locations/wa/st-mary-medical-center/heart-and-vascular-center
Shriner's Hospital for Children,https://lovetotherescue.org/contact-us
"Kern County District Attorney's Office,",https://www.kerncounty.com/government/departments/district-attorney/contact
Mt. View Family Health Care,https://prismahealth.org/locations/practices/family-medicine-mountain-view/family-medicine-mountain-view-405
Wind River Clinic,https://www.sagewestmedicalgroup.com/wind-river-clinic-riverton
Rockwood Valley Pediatrics,https://www.multicare.org/location/rockwood-primary-care/
Name missing_4961,https://github.com/osmandapp/Osmand/issues/4961
Gamma Knife Center Harborview Medical Ce,https://www.uwmedicine.org/locations/neurological-surgery-harborview
North Country Clinic- Open Door Communit,https://opendoorhealth.com/locations/arcata-community-health-centers-center/
William Bee Ririe Rural Health Clinic,https://www.wbrhely.org/about-us/providers
Banner Diamond Children's University Med,https://www.bannerhealth.com/locations/tucson/diamond-childrens-medical-center
Sutter,https://www.sutterhealth.org/contact-us
Lewis & Clark Health Center,https://chas.org/location/lewis-clark-health-center/
CASA of the Pike Peaks Region,https://www.casappr.org/
Test Agency,https://www.stateofcoloradofinancings.com/state-of-colorado-co/resources/view-link/i3660?linkId=383
Richard Weiner,https://www.sidley.com/en/us/people/w/weiner-richard/
Coeur d'Alene Pediatrics,https://cdapeds.com/Contact
Name missing_5077,https://github.com/influxdata/influxdb/issues/5077
Nebraska Medicine,https://www.nebraskamed.com/contact-us
Sonoran hematology oncology,https://dsmsocceracademy.com/northern-california-health-care/locations/sacramento-va-medical-center
Summit Cancer Center,https://www.summitcancercenters.com/contact-us/summit-locations/spokane-valley-cancer-treatment/
Our House of Portland/ Community Program,https://pcrihome.org/
AZ Center for Advanced Medicine,https://www.pennmedicine.org/for-patients-and-visitors/penn-medicine-locations/perelman-center-for-advanced-medicine
Pediatric Medical Center,https://www.cincinnatichildrens.org/
Mercy Cardiologist Associates,https://www.mountain.commonspirit.org/location/commonspirit-mercy-cardiology-associates
Ronald McDonald House Charities,https://rmhc.org/contact-us
UCLA (parent agency),https://geffenacademy.myschoolapp.com/page/?siteId=1399&ssl=1
Mann Grandstaff VAMC,https://dsmsocceracademy.com/spokane-health-care/programs/privacyfoia-office
Sutter Coast Community Clinic,https://www.sutterhealth.org/find-location/facility/sutter-coast-community-clinic
St. Luke's Mountain States Tumor Institu,https://www.stlukesonline.org/communities-and-locations/facilities/clinics/st-lukes-cancer-institute--boise
Dialysis Clinic Inc,https://www.dciinc.org/contact-dci/
Name missing_5244,Not Found
The Dove Center,https://dovecenter.org/contact/
Northwest Oncology and Hematology,https://www.northwestoncology.com/contact-us/locations
Cancer Center of Ventura County,https://hospitals.vchca.org/
Stanford Children's Hospital,https://www.stanfordchildrens.org/en/location/lucile-packard-childrens-hospital.html
Iron County School District,https://www.irondistrict.org/
Veteran's Assistance,https://www.barstowca.org/residents/veteran-s-affairs
Texas Tech Physicians,https://www.texastechphysicians.com/
Pediactric Associates of Durango,https://paofdurango.com/contact-us/
Renown Institute for Cancer,https://www.renown.org/locations/william-n-pennington-cancer-institute
Spokane Providence,https://www.providence.org/locations/wa/sacred-heart-medical-center
Rockwood Eye Center,https://www.multicare.org/location/multicare-rockwood-main-clinic/optical-center-downtown/
Name missing_5371,https://community.emlid.com/t/navio-2-sys-class-pwm-pwmchip0-duty-cycle-file-missing/5371
Providence Valley Young People's Clinic,https://www.providence.org/locations/wa/pediatrics-liberty-lake
Children's Specialty Center of Nevada,https://cure4thekids.org/
Seattle VA,Not Found
Chrysaliss,http://www.gochrysalis.com/contact
San Juan Basin Health Dept.,Not Found
Tarter Family Medicine,Not Found
Emerge! Center Against Domestic Abuse,Not Found
Grand Peaks,https://grandpeaks.org/contact-us/
Name missing_5442,Not Found
Mayo Clinic,https://www.mayoclinic.org/about-mayo-clinic/contact
National Jewish Health,https://www.nationaljewish.org/about-us/contact-us
KRMC,Not Found
University of Washington (parent agency),Not Found
VA Puget Sound Health Care System,Not Found
Community Cancer Institute,Not Found
Grande Ronde Regional Medical Clinic,https://www.grh.org/our-services/clinics/regional-medical-clinic/
Mann-Grandstaff VAMC,Not Found
Missing - 5512,Not Found
Cancer Treatment Centers of America,Not Found
Indian Health Services,Not Found
Daniel Peterson MD,Not Found
Connexions Program,Not Found
Missing - 5537,Not Found
Rio Vista Holistic Health Center,Not Found
Missing - 5544,Not Found
Pediatric Nephrology and Hypertension Cl,Not Found
St Peter's Health Dialysis Center,https://www.sphealth.org/specialties-treatments/dialysis-unit
Rural Health Clinic,Not Found
VA Portland HCS,Not Found
Winding Waters Medical Clinic,Not Found
Cottage Children's Medical Center,Not Found
Pullman Family Medicine,Not Found
Lucile Packard Children's Hospital Stanf,Not Found
TriCounties Regional Center,Not Found
