agency_name_web_scraped_list,placeId,placeId_1,placeId_2,placeId_3,placeId_4,placeId_5,placeId_6,placeId_7,placeId_8,placeId_9,placeId_10,placeId_11,placeId_12,placeId_13,placeId_14,placeId_15,placeId_16,placeId_17,placeId_18,placeId_19,placeId_20
Yukon Kuskokwim Ayagnirvik Health Center,ChIJDX88s9lUIFcRUoGQaE0lME8,ChIJDX88s9lUIFcRUoGQaE0lME8,ChIJB_aBUSdVIFcRiau_XsC4Rcw,ChIJ-VPVh_2j2FYRs97bdHpkNxk,ChIJ-e_dudjUJFcRmJRJMmu3zY4,ChIJzW3Kq9FUIFcRcH4UEFQlApk,ChIJqf-k-prxIFcR3Wdoo34r4VA,,,,,,,,,,,,,,
Yukon Kuskokain Health Cooperation,ChIJ4a7klpSXyFYRdGYx0glu7dE,ChIJ4a7klpSXyFYRdGYx0glu7dE,ChIJzW3Kq9FUIFcRcH4UEFQlApk,,,,,,,,,,,,,,,,,,
Youth Dynamics,ChIJd9DcdvYasYkRtIV_rGp_jD8,ChIJd9DcdvYasYkRtIV_rGp_jD8,ChIJo38kjuIPsYkRUT1ZdlVyrY8,,,,,,,,,,,,,,,,,,
Youth and Family Programs,ChIJXccmG2zB0lQR4WVTYkiahq0,ChIJXccmG2zB0lQR4WVTYkiahq0,ChIJa2yZcWsog4ARCFGfdPRzPhY,,,,,,,,,,,,,,,,,,
"Young Lives, Kenai Peninsula",ChIJReLvG3-XyFYROxIvq_JdQjg,ChIJReLvG3-XyFYROxIvq_JdQjg,ChIJiRP0K2Kcx1YRKRVSq2KKWwk,ChIJycRH34B7xlYRXJylK5nBAec,,,,,,,,,,,,,,,,,
Young Life Research Center,ChIJeW2erg8Lpa8RFGztkbCZ3qE,ChIJeW2erg8Lpa8RFGztkbCZ3qE,,,,,,,,,,,,,,,,,,,
"Young Khan Kim, M.D.",ChIJa0RO0XXzwokRHX6u0jvEHJc,ChIJa0RO0XXzwokRHX6u0jvEHJc,ChIJN5OBIMuSxokR1kdE_4QTDBw,ChIJO-H-eCdewokRZ_UztMz2BQo,ChIJ9Vz0jL5YwokRSfupFBEhl7Y,ChIJF1MIDd3ND4gR3k7XWWXWbkc,,,,,,,,,,,,,,,
Yolanda House of the YWCA,ChIJOaPZ-xoKlVQRW11iFQ_Bm0c,ChIJOaPZ-xoKlVQRW11iFQ_Bm0c,ChIJn5HVOWsZBYgRZ7iC2z-jmzc,ChIJvVXRi8QXXIgRI2oNWaG1ghc,ChIJMS1Jd2v9xokR6fj66PVVW00,ChIJTxNtM4WqmlQR6JHd0QOUx_A,ChIJy92QZkLlFYgR7aM-G9NQJqI,ChIJw86UISXNFogRTEb5ezBKWa4,ChIJU_C5Ghko9ocRlpux__UQfY4,ChIJvdduGZmoz4kRE2XiZoyy0qw,ChIJ60nFS5IyDogRXHBYynVs9nc,ChIJp8iDnSHVcYgRZpNws6DRwMY,ChIJD-5OSXfQNogRUAPfM5q_C3A,ChIJnYMRRFPy2YkRQYy42ziSlRw,ChIJiVhhpjOPOIgRcTiib0owP_Q,ChIJydTZ4rijhVQRdtCT4b77x7g,ChIJscItSlf6MIgRMLun0mykROM,ChIJp2MOXfEMQIgRVATX3Z-TuO4,ChIJaYNwAC2_CIgRbYwkwNFu3us,ChIJ6W_VW-63t4kRDXDLqIpy6no,ChIJTbRLtSUbjoARWmmuWUnAjWs
YMCA,ChIJl82o5HS0FIgRyFdAwPrEDfo,ChIJl82o5HS0FIgRyFdAwPrEDfo,ChIJpfZW20gewVQRFhzYs5Gtx5w,ChIJQS2htTQ9xFQRHb1ipxVYauc,ChIJC1vXYfbzwokRfZsdHqISbO4,ChIJ00cttvVYwokRmOTj5e2Ulnw,ChIJnar_pOKvlVQRDxx7Eauwl7g,ChIJmRQFUCODQIYRH2yBmdJ-Q6c,ChIJjU2P4wmaEYgRZYQc11Jnfuw,ChIJHbg64y6TyYkRrAVn4IPx8SI,ChIJ7wNajCZ6z1QRFwa4NBdA97o,ChIJh2pKljRDXIYRYHuDKNEfJOI,ChIJl1LvF0iKXIYRRIfqy8RHaiY,ChIJEVV5H7PHwoARb67OtDSvuh0,ChIJAWP6F6eEuokRFKkSEomXi4k,ChIJde5GanblM4gRqODoDnnOAWE,ChIJt7DCiLHuToYRNsVrevN_Tow,ChIJUfNX5K_iMIgR6nJb0rKHhIo,ChIJ8bdabPYGdogR5ZtNn-rk2ks,ChIJSZOKUr3G9IgRVyGruiyqhB0,ChIJrUuB_RuXwoARNx0KeRD_eXQ
Yellowstone Urology,ChIJn9esTF97SFMRP_yITVYsog4,ChIJn9esTF97SFMRP_yITVYsog4,ChIJQ3P8ayZewokRTd_v6H_pt8M,ChIJ5SOQNoW7YIcR26PSz6_UCgA,,,,,,,,,,,,,,,,,
Yellowstone City County Health Dept.,ChIJLbz-JFV7SFMRAHH9DguOt3k,ChIJLbz-JFV7SFMRAHH9DguOt3k,,,,,,,,,,,,,,,,,,,
Yellowstone Boys & Girls Ranch,ChIJpZo8WpyISFMRckTkl7JpNjc,ChIJpZo8WpyISFMRckTkl7JpNjc,ChIJp_kQQIhwSFMRMSsDugkU3kA,ChIJx3UjTjR7SFMRjwulnoD8xpg,ChIJ7Uy5bHd7RVMRgaddUBS6GvU,ChIJEacp8SEGWlMRBnW_zrrUSbg,,,,,,,,,,,,,,,
Yellowhawk Tribal Health Center,ChIJYz-o8cTiolQRDPhMZ7Va9Is,ChIJYz-o8cTiolQRDPhMZ7Va9Is,,,,,,,,,,,,,,,,,,,
YDI,ChIJOXHg8vkNK4cRXiQjSCXrIok,ChIJOXHg8vkNK4cRXiQjSCXrIok,ChIJ-b271UINIocRWaMOfh8O3kw,ChIJN9P9aXENIocRfGj2Oe9d5V8,ChIJDUqTuq0NIocRtTUBR0zp-xo,ChIJ2c23uq0NIocRjE126vimSdM,ChIJWTBlWZUMIocRe8a6Hzicuqk,ChIJMxA8DrQKIocRB4uKS3xqbTM,ChIJc4GyodZzIocRncsWIy2F0Rc,ChIJ0Sg0mYESIocRm83NRaQMuHs,ChIJEfK_64gKIocRUIEiSOoVQo4,ChIJISzLfjBzIocRjD35aTWyI7k,ChIJwXNygc4cIocRic8vye3K0Bg,ChIJO3empqd2IocREk_PUlQ-z6g,ChIJgTTYWWkLIocRw9Qqj2FXHG4,ChIJoWTbqwzlNIgRlJg9WBzfBWQ,ChIJV2IpbieC44kRnk5anAh0q6E,ChIJXRD4i7kMIocRwR03JA-jJJo,ChIJsbs4UAB1IocRl_hN03NJrRw,ChIJVVUFOJUKIocR46uLMziAmW4,ChIJ980UP-l1IocRJ-zZ6Cih0xA
YCC Family Crisis Clinic,ChIJHUhxrtsOU4cRHzKCQySwIaQ,ChIJHUhxrtsOU4cRHzKCQySwIaQ,,,,,,,,,,,,,,,,,,,
Yankton Medical Clinic,ChIJ5QJPD5ahj4cRbCrtskyNLyM,ChIJ5QJPD5ahj4cRbCrtskyNLyM,ChIJ5QJPD5ahj4cRzwf__8rvnm0,ChIJsd9NZFSgj4cRk2Dib-Lxkqg,,,,,,,,,,,,,,,,,
Yampa Valley Medical Center,ChIJwz3BLjVpQocRxu702oIU1YE,ChIJwz3BLjVpQocRxu702oIU1YE,,,,,,,,,,,,,,,,,,,
Yampa Valley Medical Association,ChIJwz3BLjVpQocR0tx9BNrs1hU,ChIJwz3BLjVpQocR0tx9BNrs1hU,ChIJwz3BLjVpQocRxu702oIU1YE,ChIJ9f_5rctuQocR0mIp1MVlZBQ,ChIJ9f_5rctuQocRf_1SatF4OxA,,,,,,,,,,,,,,,,
Yakutat Community Health Center,ChIJwX0gawCnrlYRQ3DF5_kAUlc,ChIJwX0gawCnrlYRQ3DF5_kAUlc,,,,,,,,,,,,,,,,,,,
Yakima Valley Memorial Hospital,ChIJ8yjBSEV9l1QRIOUvG7F9_gQ,ChIJ8yjBSEV9l1QRIOUvG7F9_gQ,ChIJhSiRhEV9l1QRW5Fhr89L3IY,,,,,,,,,,,,,,,,,,
Yakima Urology Associates,ChIJ_____1t9l1QRnfMYTc2iwWU,ChIJ_____1t9l1QRnfMYTc2iwWU,,,,,,,,,,,,,,,,,,,
Yakima Pediatrics Associates,ChIJW0015ODXmVQRdgG9pVmE_9A,ChIJW0015ODXmVQRdgG9pVmE_9A,,,,,,,,,,,,,,,,,,,
Yakima Neighborhood Health,ChIJg9LjppbXmVQRR4OM0cvxYY8,ChIJg9LjppbXmVQRR4OM0cvxYY8,ChIJ5eR_werXmVQRtKb7WWqgFuk,ChIJXdlSOLvXmVQRVuTEV7WP-mo,ChIJnzljCpTXmVQR6ZCNt7R8qGo,ChIJvbrx2YYjmFQRmr3e6owKFfA,,,,,,,,,,,,,,,
Yakima Indian Health Service,ChIJ3xkafgKHl1QRNmI6bDmL7tE,ChIJ3xkafgKHl1QRNmI6bDmL7tE,,,,,,,,,,,,,,,,,,,
"Y.N. Rao, MD",ChIJdxbqBtHJwokRtH9sE8rHydY,ChIJdxbqBtHJwokRtH9sE8rHydY,ChIJi6qG9hucToYRaL77ghkY4Yk,ChIJpUwK6bRhwokRRQ55poylC0s,ChIJQ9NGy1BPtokReRQvGQigm4I,ChIJs2qmsZ3JwokR6LzZUnMtPlQ,ChIJlZuWaptZwokRLYyoEYQjcmg,ChIJ26KUi7dBtokRAqJPHhwwLm0,ChIJw94BK_ioMYgRi2yD3FbwzRg,ChIJtWuMkVUrDogRfDouo93UBT0,ChIJew61OseQFYgRcf_poHDDpE4,ChIJ77blLLMZyIkRhu35swhtOYI,ChIJ-aDIqzrtrIkRkltmkujp8RU,ChIJsxOheFbGw4kR6jUlMpf0-Jk,ChIJS2vL55lRwokRYwR0Aj6Z1YA,ChIJF4goNb4P6IkRT9JBVj4efdY,ChIJIyBlCmCPQIgRnslNhBsjhPw,ChIJYwl9knLrMIgRqYq3FPEoSd0,ChIJfTf3Mvbt2YkRWiMeq85C8AE,ChIJ___rJWmvsYkRVpXyQXmvOu0,ChIJxZ11zKO6D4gRUvSJ1bmPFRk
Wyoming Wound Care Center,ChIJydAIZpm8YIcRzRoMhga60ck,ChIJydAIZpm8YIcRzRoMhga60ck,,,,,,,,,,,,,,,,,,,
Wyoming Services for Independent Living,ChIJF2KXGtUYTFMRPaU4dQ1hSU4,ChIJF2KXGtUYTFMRPaU4dQ1hSU4,ChIJfTBdgqS8YIcR5uyPekxr3Uw,ChIJifE-wpQBWYcRRPDGyu8GXGs,ChIJrd18fgBTSVMRYV0F_1pIM3o,ChIJhclBgz87b4cRdiaJlzOszi8,ChIJZ_Tqf7CVNFMRPMNZ_zWjoPQ,ChIJNWbkAifXZYcRRTbYMWEv0EI,ChIJC2mfS0n7NVMRUacJ2awEHnw,ChIJ0ySI25KRaIcRqKY_lEuiY2o,ChIJsVcViwBhWocRt280WZWur68,ChIJ4ZnJCoUkTFMRRnhjngIFoik,,,,,,,,,
Wyoming Rescue Mission,ChIJMT3Wlpm8YIcRPXty3_Ae71g,ChIJMT3Wlpm8YIcRPXty3_Ae71g,,,,,,,,,,,,,,,,,,,
Wyoming Medical Center,ChIJDbUYGoO8YIcRaVA2HKBDYcM,ChIJDbUYGoO8YIcRaVA2HKBDYcM,ChIJf54cT0G5YIcRgIhr-mt7YWw,ChIJ-eW36enKcmsRtbFH2KpF2GI,ChIJ_QR76oK8YIcR3DHCeShG31I,ChIJY7LRK_iVNFMRFkDtIjjKufg,ChIJfxkZoYa8YIcROMcwdPZ6xRc,ChIJf54cT0G5YIcRVEbNMt98eJM,ChIJoeEUd-c6b4cR2qB_8vC53g8,ChIJgee6AYO8YIcRY1RLzVtMUXM,ChIJc9WEu1q9YIcRTx5VxpGCSYQ,ChIJqRFlNjnSRIYR1P88gOR3-rs,ChIJ6agYkoK8YIcRyl69vesR_0M,ChIJu_MlBIO8YIcRfs3bE7XDumg,ChIJq6pahoG8YIcR67y2mjtQ5hg,,,,,,
Wray Clinic,ChIJvR2JKqOEc4cRd5UgaOMutzk,ChIJvR2JKqOEc4cRd5UgaOMutzk,,,,,,,,,,,,,,,,,,,
Wounded Warrior Project,ChIJ42yXQj1TUkYReku7BxYjuzw,ChIJ42yXQj1TUkYReku7BxYjuzw,ChIJa_jYFaxZwokRXZWmU_otFSg,ChIJkV26UHLK5YgRUL1W2DK3J9I,ChIJQ1SZ3CC4t4kRUIG3q7w8ymg,ChIJ2d3CF95mXIYRNxUDmIfx2Xs,ChIJsVEmNLksDogRsFGA07_2Tm4,ChIJM_0yo1DxNIgRwxCZcclbNyY,ChIJA0dOhhhFE4cROsJWCUeIX9U,ChIJg5zWQlIVkFQRtY5QIjuEas0,ChIJcUe3SM7OwogRhbEiSJ7f7lM,ChIJk0wo0bgLK4cR2W_B9aqL_Rk,ChIJdw8l5RFV2YARei647O8dGjo,ChIJlY5xN10Tq4kRfmndwoe_DGo,ChIJi1YstgudQIYR4dbOAdHfJIo,ChIJVbS6Xxjst4kRvcuWwN56Cgo,ChIJHymcXVgP9YgRajN37DBgPuc,ChIJxc4pYCOD54gRMvhKSmW7DCc,ChIJdQUvQdvyk4cRpfAko2mHy9Q,ChIJf-6Y0U8b9ocRN0VRH15ilzI,
Wound Ost. Nurse Consultant,ChIJg2_RfMjcQIYRY8yhHXSjcMk,ChIJg2_RfMjcQIYRY8yhHXSjcMk,ChIJH5-soecoTIYRXja2_6b64rA,ChIJGU6o0wi1FIgRznPWkVLguZs,ChIJVVVxtR_imoART_LGDsc5ZIQ,ChIJ6YiPfomcQIYRp1B_US9QAk0,ChIJKT_AtaACMYgR2vdNVybb4jY,ChIJef3RcjEGzkwRDXfLP68lfDc,ChIJ61JT7nuEq4kRsLCvDjONFdA,,,,,,,,,,,,
"World Vision International, DC",ChIJx01IdK9ZwokRO3DR3zxxKu0,ChIJx01IdK9ZwokRO3DR3zxxKu0,ChIJqZqsNGDc3IAR7aYYvFRl27I,ChIJdSPNSmDZwoARMDyImJaBYcU,ChIJ0_UjNkH_kFQRBMUOqAsPCdc,ChIJhYDVSJ4MlVQRVCd_Lk7ZRnA,ChIJ_e9aKhczDogRcrrAgYbzR4o,,,,,,,,,,,,,,
Work Well Foundation,ChIJQwXkq7JFkIARNwGkfXHrgDA,ChIJQwXkq7JFkIARNwGkfXHrgDA,,,,,,,,,,,,,,,,,,,
Woodlands Cancer Institute,ChIJV1k5PH43R4YRCXSGrl9WVRo,ChIJV1k5PH43R4YRCXSGrl9WVRo,ChIJf9kVQ8s5R4YRjvzuT-P3aio,ChIJM_wk8dA3R4YRE6DMl_1s6cU,ChIJu3hLvD03R4YRrW88lRFICpY,ChIJt71x-blNR4YRTkxWvwClUQ0,ChIJXSXCA-w3R4YRNlnRHFXtpZk,ChIJqyCTSuY2R4YRt5KWLSI-iPY,,,,,,,,,,,,,
Woodland Park Care Center,ChIJCaExILieOIYRh5BPXzSxhkY,ChIJCaExILieOIYRh5BPXzSxhkY,ChIJr01Em2-KUocRrStdo9mw5lo,ChIJDXAtF6-dI4gROrKX4mkPhiw,ChIJq6rqhI9hyYkRPDloPDjqi2c,ChIJUzNjlEM3R4YR_xhGJbsa74Q,ChIJxejJi4yc5IcRdGZRh43uNzQ,,,,,,,,,,,,,,
Woodinville Pediatrics,ChIJyVyS6S4MkFQRkRa63nzTXTA,ChIJyVyS6S4MkFQRkRa63nzTXTA,,,,,,,,,,,,,,,,,,,
Wood River Family Medicine,ChIJwYUo0U_Uq1QRGIh_ocQPL1M,ChIJwYUo0U_Uq1QRGIh_ocQPL1M,ChIJd7slN3qCqVQR3LZxAu0Gf3s,,,,,,,,,,,,,,,,,,
Womens Clinic of NE Wyoming,ChIJ8dpeTOY6b4cROHlS-4mp7aY,ChIJ8dpeTOY6b4cROHlS-4mp7aY,ChIJeb79u-_6NVMRw9_lRflqYE0,ChIJNQ7w1HGQaIcR1krWYuAJ3js,ChIJNWtsSYO8YIcRf_TWWQEMXnw,ChIJPVYvWuk6b4cRaPx1r9ljSNI,ChIJ_4Ah7py8YIcRmwl7SrVPICM,ChIJ8_HNBRmRaIcRYeWqRtyOQbU,ChIJIx5s3kGUNFMRksXA7vy4joA,ChIJwwpeMDmUNFMRR3eVCT301Kc,ChIJmUPKoEK3xokRJFSLBVGO8XA,ChIJMwnSWO8BWYcR8capKivgyPk,ChIJS4wIr71hWocR8YVdrp7e8ZE,ChIJ8zy2hWqUNFMRgXenrgELtJQ,ChIJs1pLbrsBXYcRGhVheKo1wC0,ChIJlQnQg0UaU1MRAJbGPdOkPEg,ChIJQ2zettW6YIcREhd8_t4Yd6E,ChIJoeEUd-c6b4cR2qB_8vC53g8,ChIJPclAe91TSVMRQqfkjgTx3ss,ChIJqcMTvH-3xokR86ZaQFLEUPg,ChIJYxo6ptgfTFMRry3mnZm0mdQ
Women's Specialty Group,ChIJ4bKRZxIvlYARhjiqCELlcQQ,ChIJ4bKRZxIvlYARhjiqCELlcQQ,ChIJeW6FFQwG9YgRf52oDHuLWHM,ChIJA6Z8Znd6z1QRB-TOKibxqDI,,,,,,,,,,,,,,,,,
Women's Specialty Clinic,ChIJP8mEe4KZToYRwKQmBDZ2vJM,ChIJP8mEe4KZToYRwKQmBDZ2vJM,ChIJyZajJ-SjToYRNJcZ0Rnc6a0,ChIJl-jdHH7-84gRt9sMVCTajJ4,ChIJDZYWv5rqyIAR2SeJKSIiOTs,ChIJh5XEjqO2FIgRvmRvc-LtNUo,ChIJz_Ha1m3n84gRxOwAYhod_AA,ChIJhV_sU58MIocR_qG4t0TB_48,ChIJywOFWQBvAHwRglG0qTE1IPA,ChIJJxyF_uoyKIYRtRP53r9eBQs,ChIJpa9JvI2cQIYRZbfpzduI51E,ChIJSdGDUOZ0IocRPcMj8zQUKss,ChIJB7oFfoJf7IARAJk0O6TFJJE,ChIJvdlJy9NlLYgRXw4q9WdPwDU,ChIJaXOin0t5MogRMJyc4CzLHnM,ChIJX5oyxBpblIAR9GxDBkXmKPo,ChIJeXEL27R9I4gRn_EQ5zecNRQ,ChIJsVXyoUtyIocR-Hl3GFGR6-Q,ChIJZUwHmYKNWYgRoTysrMYo2Ds,ChIJdzXotSjAyIARau_W4592n8A,ChIJ4bKRZxIvlYARhjiqCELlcQQ
Women's Resourse Center,ChIJsT6h6NKtGYgRoHH3r0OesLE,ChIJsT6h6NKtGYgRoHH3r0OesLE,ChIJLd80-dtx3IARw2BKPpbEbec,ChIJUzt5NYFDBYgR3G9HI2SuRsk,ChIJdyq-MI_uTYgRN0MFwMZQfdQ,ChIJWWDwoogyHogRrrQZMoo78fM,ChIJFdTkoNYYU4gR2_vWlYE3loU,ChIJfT6pU11CsocRDVFARs2dHAY,ChIJLx4VtSt-j4ARDFFkDH7ElCw,ChIJn_RgPYlAw4gR3iiJWnMSv4Q,ChIJ4SyGpT4H9YgRgjTTev6VxJc,ChIJievhV8oXw4gRnNl17-vFqhs,ChIJ9UCEtiwwUYgRa3qyjqW6wDY,ChIJi4XQjN0pE4gRG2t4Gr8ZoT0,ChIJZbFm3eYS3YgRQq7zHoVrYJk,ChIJccwzp7YrU4gR2y_c1eA-nxA,ChIJ1W_hhJXMm1QRnv1cYlD0ECw,ChIJRd_KxdiUxokRJhnN0JO2SdA,ChIJSzCu86KozokRz_aUaSq_kWE,ChIJmy9axDVw3IARVJ0TL8KYVbQ,ChIJU77lnj_XDIgR_9t7bWHKdWU
Women's Resource Agency,ChIJV8YVEdpFE4cRsMSBSAuuiEw,ChIJV8YVEdpFE4cRsMSBSAuuiEw,,,,,,,,,,,,,,,,,,,
Women's Health Center,ChIJXUSqfqx7xVQRzEK5_umw4BM,ChIJXUSqfqx7xVQRzEK5_umw4BM,ChIJGQSmk-k4K4cR4srCu6NhvTc,ChIJCYa-G7KtGYgRZ9QA-BRN0Fk,ChIJCVrBl3vh84gR4sT4yyUP5sA,ChIJPXMv9XSjToYROLuyfhAfS_U,ChIJa7Ec7Dsn3YARx_9NfHRQTQk,ChIJc9pbpbkcsocRAPqCDmL39xg,ChIJo0-1H-p9hIgRoNZmlNiixM0,ChIJS5l_VII4NoYR7LEC-XdCg7I,ChIJ3UX_H-NiToYR7YdX25jjCck,ChIJae-xn3o4K4cRQKzFLI9vauY,ChIJ32n3TdyFxokR5q1eTbgrmc8,ChIJu84C_XrgI4gRhfCPKTXukKo,ChIJlbjauNqG3YgR-zSPzrRjIF8,ChIJ2RnTj5SmIIYRB2Y6w5roXpQ,ChIJRwEY93oQqYkRXg3yO3hecSM,ChIJsS3aCTSHwoAR0Ed3anAzACo,ChIJfVsk4hTx7IARWDusANtCuUs,ChIJRYYnYus_K4cRDAITpW1YDOA,ChIJSV7I8xSPE4gREEOxr52RreU
Women's Clinic of Northern CO.,ChIJo4FUVOBKaYcRmL_eCd5ZFfA,ChIJo4FUVOBKaYcRmL_eCd5ZFfA,ChIJc46jrOOsbocR5kwQVRo06KA,,,,,,,,,,,,,,,,,,
Women's Center High Desert,ChIJ5VA8J8dswYAR0pzj1DkwLbc,ChIJ5VA8J8dswYAR0pzj1DkwLbc,,,,,,,,,,,,,,,,,,,
Women's Care of Alaska,ChIJ_WyztkWWyFYR-QaoZKnC_2E,ChIJ_WyztkWWyFYR-QaoZKnC_2E,,,,,,,,,,,,,,,,,,,
Women's Cancer Center,ChIJ1SnR14zEyIARtLfhhh6kRNo,ChIJ1SnR14zEyIARtLfhhh6kRNo,ChIJa-9cp-GNWYgRO2fP6fZftGk,ChIJUZn4gYH2rIkRySYh5_bJLU0,ChIJjRrgF8BzaYgRsZEFOi-iQ0E,ChIJjWH9E23DyIkR7LdE9hpr7Xo,ChIJNUJpSvIK3okRFt99KWB5IsE,ChIJ07NwWZumw4kRl8Nf2JtcyM0,ChIJ9_dz0AaXyFYR5NtpyonYLPE,ChIJ8aIoKDt7_ogRPwbw2wIuhN0,ChIJp6KG-m5tsYkRRZU8y80AW4Q,ChIJ4dYHeM2kj4ARJhRIIgJRYv4,ChIJnSVrAlhcJ4YRV1gzspPnZ6o,ChIJ92Ae-AgkxokR9Y2HMcKaHGI,ChIJ6bF2DAHzWYgRSkxJWaeAqiw,ChIJAQDA8_bBJIgR5dppHvq2JBs,ChIJgwartPBtsYkR1naXck76ZSw,ChIJMeK-oKQMIocR26rxCFGxjBQ,ChIJEZjjtYfrwIcRxT40SZBZ5fk,ChIJNfJ_H1XTD4gRPsFstCUn3Z0,ChIJDXyUz959hYAR-j69XUyhs68
Women's Cabinet,ChIJZweiXwCNtocRnan5VvHbfFs,ChIJZweiXwCNtocRnan5VvHbfFs,ChIJlavosZyIs4kR_2We6puRkt4,ChIJa1viBODOuFQRfd9B5Varqhs,ChIJB_SIkWIts1IRSn0aDCZlZOw,ChIJQX38iCV-24ARl7V3Ixg-5ag,ChIJgd-zm3GHs4kRmwRncuzv1dM,ChIJnzCyvIMtDogRT492eys_1z0,ChIJ_3-qN6THuFQR_H9x9F2j23E,ChIJWU8xN5m5olQRW-CrGvKXIic,ChIJjSO_u-j_v1QR8PFhjftRWPc,ChIJwfVh9NjOuFQRjNI54O5aie4,ChIJS0IE63X_v1QRH8mL9H0XYtI,ChIJV5at3VL_v1QR2YwG8nZW4W0,ChIJz0JCzaTHuFQRtu7gd7fhJLg,ChIJDTQAJgz_v1QR_skGgS0Yn34,ChIJAV9Fpj3-v1QRw82KrdIDURw,,,,
